Country,Year,GHG Energy,GHG Fugi,GHG FC,GHG FC - Coal,GHG FC - Oil,GHG FC - Gas,CO2 MARBUNK,CO2 AVBUNK,CO2-TES,CO2-GDP,CO2-GDP PPP,CO2-POP,iso_code,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_generation,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_electricity,other_renewable_exc_biofuel_electricity,renewables_electricity,solar_electricity,wind_electricity,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita,other_renewables_share_elec,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,gdp,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
New Zealand,1971,13.94669031,207.681955,13.73900835,4.034478086,9.458690582,0.245839685,1.053429755,0.645895128,47.232,0.225,0.232,4.714,NZL,,,,,,,4.528,4.685,,,,0.0,0.0,0.0,0.0,,,-11.056,13.496,-1.814,14.596,,5083.825,,,,,,,,,,,,,,,,2.375,37668.69,-0.086,59.803,-0.056,64.675,22526.852,,,,27.027,0.834,0.192,0.902,,314.316,,,,13.603,36.971,4.788,39.983,,13926.62,,,,12.239,40.197,4.74,43.472,15141.838,,,0.0,0.0,0.0,,0.0,,3.291,45.472,1.567,49.177,,17128.711,,,,,-1.335,3.226,-0.047,3.489,1215.218,,2871000.0,108.147,,,12.239,40.197,4.74,43.472,15141.838,,,0.0,0.0,0.0,,0.0,45534248960.0,,,0.0,0.0,0.0,,0.0
Austria,1971,,,49.58428949,16.68328969,27.24427207,5.426587948,0.0,0.279779502,61.701,0.335,0.297,6.48,AUT,0.0,,0.0,,0.0,,-0.105,-0.264,,,,0.0,0.0,0.0,0.0,,,-8.273,20.488,-4.621,51.234,,6785.914,,,,,,,,,,,,,,,,2.337,33121.852,6.356,81.316,12.151,203.347,26933.437,,,,14.873,12.999,4.209,32.507,,4305.52,,,,-20.994,18.684,-12.416,46.723,,6188.416,,,,-20.994,18.684,-12.416,46.723,6188.416,,,0.0,0.0,0.0,,0.0,,11.737,47.829,12.563,119.607,,15842.003,,,,,,0.0,0.0,0.0,0.0,,7550000.0,250.07,,,-20.994,18.684,-12.416,46.723,6188.416,,,0.0,0.0,0.0,,0.0,107000000000.0,,,0.0,0.0,0.0,,0.0
Belgium,1971,,,119.4057764,45.06011693,63.00118052,11.34447898,8.166021252,1.226796986,71.05,0.658,0.584,12.213,BEL,0.0,,0.0,,,,-1.897,-10.233,,,,0.0,0.0,0.0,0.0,,,-17.193,29.589,-32.518,156.617,,16207.914,,,,,,,,,,,,,,,,3.35,54777.066,-1.812,99.93,-9.764,528.939,54738.546,,,,37.893,10.356,15.063,54.815,,5672.648,,,,-45.528,0.07,-0.311,0.372,,38.52,,,,-55.776,0.07,-0.469,0.372,38.52,,-100.0,0.0,-0.158,0.0,,0.0,,2.482,59.985,7.691,317.507,,32857.984,,,,,,0.0,0.0,0.0,0.0,,9663000.0,529.311,,,-45.528,0.07,-0.311,0.372,38.52,,,0.0,0.0,0.0,,0.0,158000000000.0,,,0.0,0.0,0.0,,0.0
Czech Republic,1971,,,156.9573407,135.3361629,19.75240668,1.868771083,0.0,0.701370888,80.769,2.329,1.225,15.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,1971,55.96313152,8.8176,55.95431392,6.156243962,49.75611826,0.0,2.112617698,1.943215885,71.532,0.405,0.44,11.167,DNK,0.0,,,0.0,,,-5.496,-13.354,,,,0.0,0.0,0.0,0.0,,,-38.804,7.28,-10.601,16.718,,3369.234,,,,,,,,,,,,,,,,2.45,46277.92,-5.497,99.971,-13.354,229.564,46264.484,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.029,0.0,0.067,,13.435,,,,0.0,0.029,0.0,0.067,13.435,,,0.0,0.0,0.0,,0.0,,-1.277,92.691,-2.754,212.846,,42895.25,,,,,,0.0,0.0,0.0,0.0,,4962000.0,229.631,,,0.0,0.029,0.0,0.067,13.435,,,0.0,0.0,0.0,,0.0,93736181760.0,,,0.0,0.0,0.0,,0.0
Estonia,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,1971,,,40.81292464,8.721847147,31.49452253,0.0,0.242155201,0.1783211,52.393,0.491,0.494,8.642,FIN,,,,,,,2.592,4.666,,,,0.0,0.0,0.0,0.0,,,-11.247,12.769,-2.988,23.579,,5093.857,,,,,,,,,,,,,,,,2.71,39893.585,0.946,83.934,1.453,154.998,33484.223,,,,,0.0,0.0,0.0,,0.0,,,,12.143,16.066,3.213,29.669,,6409.362,,,,12.143,16.066,3.213,29.669,6409.362,,,0.0,0.0,0.0,,0.0,,3.497,71.165,4.441,131.419,,28390.366,,,,,,0.0,0.0,0.0,0.0,,4629000.0,184.667,,,12.143,16.066,3.213,29.669,6409.362,,,0.0,0.0,0.0,,0.0,68133076992.0,,,0.0,0.0,0.0,,0.0
France,1971,433.333177,1642.050175,431.6911268,142.7760271,268.2695294,17.75667797,12.89773437,4.617898976,63.769,0.442,0.396,8.074,FRA,0.0,,0.0,,0.0,,4.06,72.753,,,,0.0,0.0,0.0,0.0,,,-8.368,19.81,-33.736,369.435,,7220.754,,,,,,,,,,,,,,,,2.031,36450.246,5.225,91.126,84.378,1699.411,33215.617,,,,18.524,6.071,17.696,113.226,,2213.037,,,,-13.805,7.277,-21.735,135.713,,2652.566,,,,-6.564,8.874,-11.626,165.493,3234.629,,63.351,1.39,10.05,25.914,,506.497,,8.995,65.245,100.418,1216.75,,23781.826,,,,,1.575,0.207,0.06,3.866,75.566,,51163000.0,1864.904,,,-13.442,7.485,-21.676,139.579,2728.132,,,0.0,0.0,0.0,,0.0,918000000000.0,,,0.0,0.0,0.0,,0.0
Germany,1971,993.8999774,3189.242425,990.710735,565.5336944,385.9150593,38.53923864,13.13702067,7.646320011,76.585,0.676,0.583,12.485,DEU,0.0,,23.198,27.868,0.0,,0.922,33.254,,,,0.0,0.0,0.0,0.0,,,-4.303,45.583,-74.618,1659.381,,21060.812,,,,,,,,,,,,,,,,2.737,46203.354,1.276,98.423,45.131,3582.939,45474.545,,,,32.107,5.797,51.287,211.025,,2678.321,147.997,1878.378,,-23.261,1.027,-11.329,37.376,,474.369,,,,-17.138,1.577,-11.876,57.423,728.809,,-4.281,0.474,-0.772,17.267,,219.148,,4.164,47.043,68.461,1712.533,,21735.412,,,,,8.805,0.076,0.225,2.781,35.292,,78790000.0,3640.362,,,-21.662,1.103,-11.104,40.156,509.661,,,0.0,0.0,0.0,,0.0,1330000000000.0,,,0.0,0.0,0.0,,0.0
Greece,1971,,,25.47292191,6.755283526,18.55388109,0.0,1.900984086,1.306662572,68.89,0.246,0.166,2.809,GRC,0.0,,,,,,19.214,22.267,,,,0.0,0.0,0.0,0.0,,,47.389,31.365,13.933,43.333,,4971.139,,,,,,,,,,,,,,,,1.636,15849.208,20.469,94.668,22.223,130.791,15004.115,,,,,0.0,0.0,0.0,,0.0,,,,0.607,5.332,0.044,7.367,,845.093,,,,0.607,5.332,0.044,7.367,845.093,,,0.0,0.0,0.0,,0.0,,10.471,63.303,8.29,87.457,,10032.977,,,,,,0.0,0.0,0.0,0.0,,8717000.0,138.158,,,0.607,5.332,0.044,7.367,845.093,,,0.0,0.0,0.0,,0.0,84442021888.0,,,0.0,0.0,0.0,,0.0
